nb_moves,highest_tile,score
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,4
5,4,8
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,4,4
5,8,12
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,8,16
5,4,4
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,8,12
5,8,12
5,8,16
5,4,4
5,4,4
5,8,12
5,4,8
5,4,8
5,8,16
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,8,12
5,8,12
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,8,12
5,4,8
5,4,8
5,8,16
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,8,12
5,4,4
5,8,8
5,8,16
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,8,16
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,8,16
5,4,4
5,4,8
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,8,16
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,8,12
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,8,12
5,2,0
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,8,16
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,4,8
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,8,12
5,8,12
5,4,4
5,8,12
5,4,4
5,4,4
5,4,8
5,8,12
5,4,4
5,8,12
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,8
5,8,12
5,4,4
5,8,16
5,4,4
5,4,0
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,8,12
5,4,8
5,4,4
5,4,8
5,4,4
5,8,12
5,4,8
5,4,4
5,8,16
5,4,4
5,4,4
5,4,4
5,4,4
5,8,12
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,8,12
5,4,4
5,4,8
5,4,8
5,8,16
5,8,12
5,4,8
5,4,4
5,8,12
5,4,4
5,4,8
5,8,16
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,8,16
5,8,16
5,8,16
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,8
5,8,16
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,8,16
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,8,12
5,4,8
5,8,16
5,4,4
5,8,12
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,4,8
5,4,4
5,8,12
5,4,4
5,8,16
5,4,8
5,4,4
5,4,4
5,4,8
5,8,12
5,8,16
5,8,12
5,4,4
5,8,16
5,4,8
5,8,16
5,4,4
5,4,4
5,4,4
5,4,8
5,8,12
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,8,16
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,8,16
5,4,4
5,8,12
5,8,12
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,8,16
5,8,12
5,4,4
5,4,8
5,4,8
5,4,4
5,8,12
5,4,8
5,4,8
5,4,8
5,4,4
5,4,8
5,4,8
5,8,12
5,4,4
5,4,8
5,4,8
5,8,12
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,8
5,8,16
5,4,4
5,4,4
5,8,16
5,4,8
5,8,12
5,4,4
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,8,16
5,4,8
5,4,4
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,4,8
5,8,12
5,4,4
5,4,4
5,4,8
5,4,8
5,4,4
5,4,4
5,8,12
5,4,4
5,8,16
5,4,8
5,4,8
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,8
5,4,4
5,4,4
5,4,4
5,8,16
5,4,8
5,4,4
5,4,8
5,8,12
5,4,4
5,8,16
5,4,4
5,4,8
5,4,8
5,4,4
5,8,12
5,4,4
5,8,12
5,4,8
5,4,8
5,4,8
5,4,8
5,8,12
5,4,8
5,4,8
5,4,8
5,4,4
5,8,12
5,4,8
5,4,4
5,8,16
